steps_at	steps	user_id	day	dow
1411991999.9995	5928.0	8	68	0
1412078399.9995	7250.0	8	69	1
1412164799.9995	7380.0	8	70	2
1412251199.9995	6601.0	8	71	3
1412337599.9995	857.0	8	72	4
1410263999.9995	15432.0	9	48	1
1410350399.9995	6962.0	9	49	2
1410436799.9995	13622.0	9	50	3
1410523199.9995	9591.0	9	51	4
1410782399.9995	14825.0	9	54	0
1410868799.9995	15438.0	9	55	1
1410955199.9995	10789.0	9	56	2
1411127999.9995	1618.0	9	58	4
1411214399.9995	10762.0	9	59	5
1411300799.9995	15745.0	9	60	6
1411387199.9995	7463.0	9	61	0
1411559999.9995	6766.0	9	63	2
1411646399.9995	14323.0	9	64	3
1411732799.9995	7468.0	9	65	4
1411819199.9995	454.0	9	66	5
1411905599.9995	7.0	9	67	6
1412078399.9995	963.0	9	69	1
1412164799.9995	926.0	9	70	2
1412510399.9995	8.0	9	74	6
1412596799.9995	12770.0	9	75	0
1410177599.9995	2227.0	10	47	0
1410263999.9995	7.0	10	48	1
1410350399.9995	12232.0	10	49	2
1410436799.9995	10072.0	10	50	3
1410523199.9995	9161.0	10	51	4
1410695999.9995	17891.0	10	53	6
1410782399.9995	12947.0	10	54	0
1410868799.9995	16324.0	10	55	1
1410955199.9995	9095.0	10	56	2
1411041599.9995	14893.0	10	57	3
1411127999.9995	10627.0	10	58	4
1411214399.9995	14.0	10	59	5
1411300799.9995	758.0	10	60	6
1411387199.9995	9427.0	10	61	0
1411473599.9995	12156.0	10	62	1
1411559999.9995	14294.0	10	63	2
1411646399.9995	9777.0	10	64	3
1411732799.9995	10715.0	10	65	4
1411991999.9995	9976.0	10	68	0
1412078399.9995	9413.0	10	69	1
1412164799.9995	9535.0	10	70	2
1412251199.9995	9381.0	10	71	3
1412337599.9995	9524.0	10	72	4
1412596799.9995	13052.0	10	75	0
1412683199.9995	9029.0	10	76	1
1410263999.9995	14287.0	11	48	1
1410350399.9995	18400.0	11	49	2
1410436799.9995	15006.0	11	50	3
1410523199.9995	14747.0	11	51	4
1410609599.9995	12799.0	11	52	5
1410695999.9995	16556.0	11	53	6
1410782399.9995	12742.0	11	54	0
1410868799.9995	30525.0	11	55	1
1410955199.9995	25293.0	11	56	2
1411041599.9995	22544.0	11	57	3
1411127999.9995	25188.0	11	58	4
1411214399.9995	27072.0	11	59	5
1411300799.9995	12783.0	11	60	6
1411387199.9995	12791.0	11	61	0
1411473599.9995	17260.0	11	62	1
1411646399.9995	48.0	11	64	3
1411732799.9995	12155.0	11	65	4
1411819199.9995	17594.0	11	66	5
1411905599.9995	19337.0	11	67	6
1411991999.9995	16400.0	11	68	0
1412078399.9995	15251.0	11	69	1
1412164799.9995	13647.0	11	70	2
1412251199.9995	15257.0	11	71	3
1412337599.9995	18035.0	11	72	4
1412423999.9995	20845.0	11	73	5
1412510399.9995	22817.0	11	74	6
1412596799.9995	6806.0	11	75	0
1408967999.9995	5451.0	12	33	0
1409054399.9995	4522.0	12	34	1
1409140799.9995	8294.0	12	35	2
1409227199.9995	7578.0	12	36	3
1409572799.9995	4996.0	12	40	0
1409659199.9995	3114.0	12	41	1
1409745599.9995	2211.0	12	42	2
1410177599.9995	12260.0	12	47	0
1410263999.9995	3995.0	12	48	1
1410350399.9995	4685.0	12	49	2
1410436799.9995	3253.0	12	50	3
1410523199.9995	5031.0	12	51	4
1410782399.9995	12588.0	12	54	0
1410868799.9995	4547.0	12	55	1
1410955199.9995	4607.0	12	56	2
1411127999.9995	6631.0	12	58	4
1411214399.9995	5007.0	12	59	5
1411300799.9995	2997.0	12	60	6
1411387199.9995	3110.0	12	61	0
1411473599.9995	3813.0	12	62	1
